ID,composition,source,temperature,target,log_target,family,ChemicalFamily
370,Li1.1Y0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,298.15,9.18E-05,-4.037157319,NASICON,Oxides
371,Li1.2Sc0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,298.15,5.86E-05,-4.232102384,NASICON,Oxides
372,Li1.3Sc0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,298.15,8.32E-05,-4.079876674,NASICON,Oxides
373,Li1.1Lu0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,298.15,5.88E-05,-4.230622674,NASICON,Oxides
374,Li1.4Y0.4Hf1.6(PO4)3,10.1016/0167-2738(93)90387-I,298.15,2.09E-05,-4.679853714,NASICON,Oxides
375,Li1.4Sc0.4Hf1.6(PO4)3,10.1016/0167-2738(93)90387-I,298.15,6.17E-05,-4.209714836,NASICON,Oxides
376,Li1.3Fe0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,298.15,5.40E-05,-4.26760624,NASICON,Oxides
377,Li1.3Lu0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,298.15,3.56E-05,-4.448550002,NASICON,Oxides
378,Li1.3Y0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,298.15,3.19E-05,-4.496209317,NASICON,Oxides
379,Li1.1Sc0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,298.15,2.45E-05,-4.610833916,NASICON,Oxides
380,Li1.4Lu0.4Hf1.6(PO4)3,10.1016/0167-2738(93)90387-I,298.15,2.06E-05,-4.68613278,NASICON,Oxides
381,Li1.1In0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,298.15,1.00E-06,-6,NASICON,Oxides
382,Li1.3Cr0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,298.15,5.26E-07,-6.279014256,NASICON,Oxides
383,Li1.2Cr0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,298.15,2.54E-07,-6.595166283,NASICON,Oxides
384,Li1.5Cr0.5Hf1.5(PO4)3,10.1016/0167-2738(93)90387-I,298.15,1.18E-07,-6.928117993,NASICON,Oxides
385,Li1.1Cr0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,298.15,9.35E-08,-7.029188389,NASICON,Oxides
386,Li1.3Eu0.3Ti1.7(PO4)3,10.1016/0167-2738(94)90299-2,298.15,6.00E-05,-4.22184875,NASICON,Oxides
387,LiZr2(PO4)3,10.1016/0167-2738(90)90188-W,298.15,3.30E-06,-5.48148606,NASICON,Oxides
388,LiHf2(PO4)3,10.1016/B978-0-08-021592-1.50024-6,298.15,3.80E-06,-5.420216403,NASICON,Oxides
390,Li1.15Y0.15Zr1.85(PO4)3,10.1016/j.jpowsour.2013.03.175,298.15,7.10E-05,-4.148741651,NASICON,Oxides
391,LiZr2(PO4)3,10.1016/j.jpowsour.2013.03.175,298.15,5.00E-08,-7.301029996,NASICON,Oxides
397,Li1.02Zr1.98Y0.02(PO4)3,10.1016/j.ssi.2003.12.037,298.15,1.15E-07,-6.93930216,NASICON,Oxides
398,Li0.9Zr1.9Nb0.1(PO4)3,10.1016/j.ssi.2003.12.037,298.15,1.35E-06,-5.869666232,NASICON,Oxides
399,Li0.98Zr1.98Nb0.02(PO4)3,10.1016/j.ssi.2003.12.037,298.15,2.50E-07,-6.602059991,NASICON,Oxides
401,Li1.3Al0.2Y0.1Ti1.7(PO4)3,10.1016/j.ssi.2012.05.011,298.15,1.20E-04,-3.920818754,NASICON,Oxides
402,Li1.3Al0.1Y0.2Ti1.7(PO4)3,10.1016/j.ssi.2012.05.011,298.15,7.30E-05,-4.13667714,NASICON,Oxides
403,Li1.3Al0.15Y0.15Ti1.7(PO4)3,10.1016/j.ssi.2012.05.011,298.15,1.90E-05,-4.721246399,NASICON,Oxides
404,Li1.4Al0.4Ge0.2Ti1.4(PO4)3,10.1016/j.ssi.2013.09.022,298.15,1.29E-03,-2.88941029,NASICON,Oxides
405,Li1.4Al0.4Ge1.2Ti0.4(PO4)3,10.1016/j.ssi.2013.09.022,298.15,3.43E-04,-3.46470588,NASICON,Oxides
406,Li1.4Al0.4Ge1.6(PO4)3,10.1016/j.ssi.2013.09.022,298.15,1.77E-04,-3.752026734,NASICON,Oxides
407,Li2InTi(PO4)3,10.1016/S0167-2738(96)00565-6,298.15,8.30E-06,-5.080921908,NASICON,Oxides
408,Li2CrZr(PO4)3,10.1016/S0167-2738(96)00565-6,298.15,5.91E-07,-6.228412519,NASICON,Oxides
409,Li2CrTi(PO4)3,10.1016/S0167-2738(96)00565-6,298.15,4.41E-07,-6.355561411,NASICON,Oxides
410,Li2FeTi(PO4)3,10.1016/S0167-2738(96)00565-6,298.15,3.34E-07,-6.476253533,NASICON,Oxides
411,Li2FeZr(PO4)3,10.1016/S0167-2738(96)00565-6,298.15,1.44E-07,-6.841637508,NASICON,Oxides
412,Li2InZr(PO4)3,10.1016/S0167-2738(96)00565-6,298.15,8.22E-08,-7.085128182,NASICON,Oxides
413,Li2InHf(PO4)3,10.1016/S0167-2738(96)00565-6,298.15,2.74E-08,-7.562249437,NASICON,Oxides
421,Li1.7Al0.7Ge1.3(PO4)3,10.1016/S0955-2219(99)00055-2,298.15,1.50E-04,-3.823908741,NASICON,Oxides
422,Li1.5Al0.5Ge1.5(PO4)3,10.1016/S0955-2219(99)00055-2,298.15,2.80E-04,-3.552841969,NASICON,Oxides
423,Li1.6Al0.6Ge1.4(PO4)3,10.1016/S0955-2219(99)00055-2,298.15,1.40E-04,-3.853871964,NASICON,Oxides
424,Li1.3Al0.3Ge1.7(PO4)3,10.1016/S0955-2219(99)00055-2,298.15,3.90E-05,-4.408935393,NASICON,Oxides
425,Li1.7Al0.7Ti1.3(PO4)3,10.1016/S0955-2219(99)00055-2,298.15,3.70E-05,-4.431798276,NASICON,Oxides
426,Li1.1Al0.1Ti1.9(PO4)3,10.1016/S0955-2219(99)00055-2,298.15,3.00E-05,-4.522878745,NASICON,Oxides
427,Li1.1Al0.1Ge1.9(PO4)3,10.1016/S0955-2219(99)00055-2,298.15,2.90E-06,-5.537602002,NASICON,Oxides
430,Li1.5Al0.5Ti1.5(PO4)3,10.1021/cm010528i,298.15,1.10E-05,-4.958607315,NASICON,Oxides
431,Li1.05Al0.05Ti1.95(PO4),10.1021/cm010528i,298.15,1.40E-06,-5.853871964,NASICON,Oxides
432,Li1.6Al0.6Ge0.8Ti0.6(PO4)3,10.1021/cm021717j,298.15,1.10E-04,-3.958607315,NASICON,Oxides
433,Li1.4Al0.4Ge1.0Ti0.6(PO4)3,10.1021/cm021717j,298.15,8.00E-05,-4.096910013,NASICON,Oxides
434,Li1.8Al0.8Ge0.8Ti0.4(PO4)3,10.1021/cm021717j,298.15,7.00E-05,-4.15490196,NASICON,Oxides
435,Li1.4Al0.4Ge0.8Ti0.8(PO4)3,10.1021/cm021717j,298.15,6.00E-05,-4.22184875,NASICON,Oxides
436,Li1.6Al0.6Ge1.0Ti0.4(PO4)3,10.1021/cm021717j,298.15,5.00E-05,-4.301029996,NASICON,Oxides
437,Li1.2Al0.2Ge0.8Ti(PO4)3,10.1021/cm021717j,298.15,3.00E-05,-4.522878745,NASICON,Oxides
438,Li1.2Al0.2Ge1.0Ti0.8(PO4)3,10.1021/cm021717j,298.15,3.00E-05,-4.522878745,NASICON,Oxides
439,Li1.8Al0.8Ge1.0Ti0.2(PO4)3,10.1021/cm021717j,298.15,3.00E-05,-4.522878745,NASICON,Oxides
441,LiGe2(PO4)3,10.1021/jp9085602,298.15,7.20E-07,-6.142667504,NASICON,Oxides
451,Li1.3Al0.3Ti1.7(PO4)3,10.1149/1.2086597,298.15,2.16E-03,-2.665546249,NASICON,Oxides
452,Li1.3Sc0.3Ti1.7(PO4)3,10.1149/1.2086597,298.15,7.94E-04,-3.100179498,NASICON,Oxides
453,Li1.2Y0.2Ti1.8(PO4)3,10.1149/1.2086597,298.15,5.04E-04,-3.297569464,NASICON,Oxides
454,Li1.4Y0.4Ti1.6(PO4)3,10.1149/1.2096693,298.15,6.10E-04,-3.214670165,NASICON,Oxides
455,Li0.7Al0.3Ti1.7(PO4)3,10.1149/1.2086597,298.15,5.88E-04,-3.230622674,NASICON,Oxides
456,Li1.3Y0.3Ti1.7(PO4)3,10.1149/1.2086597,298.15,5.54E-04,-3.256490235,NASICON,Oxides
457,Li1.2Fe0.2Ti1.8(PO4)3,10.1149/1.2086597,298.15,3.51E-04,-3.454692884,NASICON,Oxides
458,Li1.4Sc0.4Ti1.6(PO4)3,10.1149/1.2086597,298.15,5.15E-04,-3.288192771,NASICON,Oxides
459,Li1.2In0.2Ti1.8(PO4)3,10.1149/1.2086597,298.15,4.01E-04,-3.396855627,NASICON,Oxides
460,Li1.4Fe0.4Ti1.6(PO4)3,10.1149/1.2086597,298.15,3.86E-04,-3.413412695,NASICON,Oxides
461,Li1.4In0.4Ti1.6(PO4)3,10.1149/1.2086597,298.15,3.00E-04,-3.522878745,NASICON,Oxides
462,Li1.5In0.5Ti1.5(PO4)3,10.1149/1.2086597,298.15,2.04E-04,-3.690369833,NASICON,Oxides
463,Li1.5Fe0.5Ti1.5(PO4)3,10.1149/1.2086597,298.15,1.75E-04,-3.756961951,NASICON,Oxides
464,Li1.4Cr0.4Ti1.6(PO4)3,10.1149/1.2086597,298.15,1.50E-04,-3.823908741,NASICON,Oxides
465,Li1.5Y0.5Ti1.5(PO4)3,10.1149/1.2086597,298.15,5.44E-05,-4.2644011,NASICON,Oxides
466,Li1.2Cr0.2Ti1.8(PO4)3,10.1149/1.2086597,298.15,1.83E-05,-4.73754891,NASICON,Oxides
467,Li1.2La0.2Ti1.8(PO4)3,10.1149/1.2096693,298.15,5.28E-04,-3.277366077,NASICON,Oxides
468,Li1.3La0.3Ti1.7(PO4)3,10.1149/1.2096693,298.15,5.28E-04,-3.277366077,NASICON,Oxides
469,Li1.4La0.4Ti1.6(PO4)3,10.1149/1.2096693,298.15,4.97E-04,-3.303643611,NASICON,Oxides
470,Li1.5La0.5Ti1.5(PO4)3,10.1149/1.2096693,298.15,2.82E-04,-3.549750892,NASICON,Oxides
471,LiSn2(PO4)3,10.1149/1.2220723,298.15,2.00E-09,-8.698970004,NASICON,Oxides
472,Li1.3Sc0.3Ge1.7(PO4)3,10.1246/bcsj.65.2200,298.15,2.98E-05,-4.525783736,NASICON,Oxides
473,Li1.5Ga0.5Ge1.5(PO4)3,10.1246/bcsj.65.2200,298.15,1.17E-04,-3.931814138,NASICON,Oxides
474,Li1.3Cr0.3Ge1.7(PO4)3,10.1246/bcsj.65.2200,298.15,2.44E-05,-4.612610174,NASICON,Oxides
475,Li1.3Fe0.3Ge1.7(PO4)3,10.1246/bcsj.65.2200,298.15,3.67E-05,-4.435333936,NASICON,Oxides
476,Li1.5Sc0.5Ge1.5(PO4)3,10.1246/bcsj.65.2200,298.15,2.51E-05,-4.600326279,NASICON,Oxides
477,Li1.7Fe0.7Ge1.3(PO4)3,10.1246/bcsj.65.2200,298.15,2.37E-05,-4.625251654,NASICON,Oxides
478,Li1.7Ga0.7Ge1.3(PO4)3,10.1246/bcsj.65.2200,298.15,2.43E-05,-4.614393726,NASICON,Oxides
479,Li1.3In0.3Ge1.7(PO4)3,10.1246/bcsj.65.2200,298.15,9.22E-06,-5.035269079,NASICON,Oxides
480,Li1.5In0.5Ge1.5(PO4)3,10.1246/bcsj.65.2200,298.15,5.75E-06,-5.240332155,NASICON,Oxides
481,Li1.45Al0.45Ge0.2Ti1.35(PO4)3,10.3389/fenrg.2016.00012,298.15,1.01E-03,-2.995678626,NASICON,Oxides
482,Li1.40Al0.4Ge0.2Ti1.4(PO4)3,10.3389/fenrg.2016.00012,298.15,1.00E-03,-3,NASICON,Oxides
483,Li1.50Al0.50Ge0.2Ti1.3(PO4)3,10.3389/fenrg.2016.00012,298.15,7.37E-04,-3.132532512,NASICON,Oxides
484,Li1.35Al0.35Ge0.2Ti1.45(PO4)3,10.3389/fenrg.2016.00012,298.15,6.18E-04,-3.209011525,NASICON,Oxides
485,Li1.55Al0.55Ge0.2Ti1.25(PO4)3,10.3389/fenrg.2016.00012,298.15,7.02E-05,-4.153662888,NASICON,Oxides
486,Li1.45Al0.45Ti1.55(PO4),10.5796/electrochemistry.82.870,298.15,2.90E-04,-3.537602002,NASICON,Oxides
488,Li7Ge3PS12,10.1016/j.jssc.2016.12.001,298.15,1.10E-04,-3.958607315,Thio-LISICON,Sulphides
489,Li3.2PO3.1N0.7,10.1016/j.ssi.2005.10.021,298.15,5.00E-07,-6.301029996,LISICON,Oxides and Other Anions
496,Li1.3Al0.3Ti1.7(PO4)3,10.1016/S0955-2219(99)00055-2,298.15,3.00E-03,-2.522878745,NASICON,Oxides
502,Li4P2S6,10.1016/j.ssi.2015.10.015,298.15,2.57E-07,-6.590066877,Glass,Sulphides
504,Li3OBr,10.1016/j.ssi.2015.11.027,298.15,1.06E-06,-5.974694135,Anti-Perovskite,Oxides and Other Anions
537,Li1.6Al0.6Ge1.4 (PO4)3,10.1016/S0167-2738(97)00434-7,298.15,3.80E-04,-3.420216403,Glass-Ceramic,Oxides
539,Li6.25PS5.25Cl0.75,10.1016/j.apsusc.2019.07.041,298.15,1.40E-02,-1.853871964,Argyrodite,Sulphides and Other Anions
561,Li6PS5Br,10.1021/acsaem.8b00280,298.15,1.90E-04,-3.721246399,Argyrodite,Sulphides and Other Anions
582,Li6PS5I,10.1007/s10008-011-1572-8,298.15,6.30E-04,-3.200659451,Argyrodite,Sulphides and Other Anions
584,Li5PS4(BH4)2,10.1021/acsomega.8b00377,298.15,7.96E-03,-2.099086932,Argyrodite,Sulphides and Other Anions
591,Li0.245La0.592Ti0.98Mn0.02O3,10.1006/jssc.1998.7904,298.15,1.00E-03,-3,Perovskite,Oxides
592,La0.55Li0.36Ti0.995Al0.005O3,10.1007/BF02375549,298.15,1.10E-03,-2.958607315,Perovskite,Oxides
593,La0.54Li0.36TiO3,10.1007/BF02375549,298.15,8.90E-04,-3.050609993,Perovskite,Oxides
594,La0.51Li0.36Ti0.95W0.05O3,10.1007/BF02375549,298.15,7.30E-04,-3.13667714,Perovskite,Oxides
595,La0.56Li0.36Ti0.95Al0.05O3,10.1007/BF02375549,298.15,6.40E-04,-3.193820026,Perovskite,Oxides
596,La0.55Li0.36Ti0.95Ge0.05O3,10.1007/BF02375549,298.15,3.60E-04,-3.443697499,Perovskite,Oxides
597,La0.58Li0.36Ti0.95Mg0.05O3,10.1007/BF02375549,298.15,2.10E-04,-3.677780705,Perovskite,Oxides
598,La0.55Li0.36Ti0.95Mn0.05O3,10.1007/BF02375549,298.15,1.90E-04,-3.721246399,Perovskite,Oxides
599,La0.55Li0.36Ti0.95Ru0.05O3,10.1007/BF02375549,298.15,5.20E-05,-4.283996656,Perovskite,Oxides
604,(La0.5Li0.5)TiO3,10.1016/0167-2738(94)90309-3,298.15,1.00E-03,-3,Perovskite,Oxides
